Orthogroup	Uloborus_diversus	Drosophila_melanogaster
OG0000009	jg20799.t1.p1, GJZJ01033171.1.p1, GJZJ01119671.1.p1, jg20559.t1.p1, jg20617.t1.p1, GJZJ01178680.1.p1, jg20643.t1.p1, GJZJ01245483.1.p1, jg19928.t1.p1, jg19916.t1.p1, jg19915.t1.p1, GJZJ01067603.1.p1, jg20568.t1.p1, jg19946.t1.p1, jg19849.t1.p1, GJZJ01081529.1.p2, jg20049.t1.p1, jg19953.t1.p1, GJZJ01237882.1.p1, GJZJ01239859.1.p1, GJZJ01000746.1.p1, jg20048.t1.p1, GJZJ01081529.1.p1, jg20036.t1.p1, jg20039.t1.p1, jg19934.t1.p1, GJZJ01223368.1.p1, jg19929.t1.p1, jg19929.t3.p1, jg19929.t2.p1, GJZJ01059603.1.p1, jg20533.t1.p1, jg20490.t1.p1, jg20503.t1.p1, jg20513.t1.p1, GJZJ01014788.1.p1, jg19926.t1.p1, jg20647.t1.p1, jg20632.t1.p1, GJZJ01209971.1.p2, GJZJ01269255.1.p1, jg33636.t1.p1, jg20569.t1.p1, jg20634.t1.p1, jg20058.t1.p1, GJZJ01171976.1.p1, jg19949.t1.p1, jg45070.t1.p1, GJZJ01270511.1.p1, jg4238.t1.p1, GJZJ01004927.1.p1, GJZJ01115387.1.p1, jg33190.t1.p1, GJZJ01105925.1.p1, GJZJ01264952.1.p1, GJZJ01245715.1.p1, GJZJ01153816.1.p1, GJZJ01092641.1.p1, GJZJ01095239.1.p1, GJZJ01150442.1.p1, jg33182.t1.p1, jg33387.t1.p1, GJZJ01233259.1.p1, GJZJ01144338.1.p1, jg20496.t1.p1, jg20528.t1.p1, GJZJ01016216.1.p1, jg20491.t1.p1, GJZJ01160196.1.p1, GJZJ01170911.1.p1, jg20514.t1.p1, jg20504.t1.p1, jg20504.t2.p1, jg20498.t1.p1, jg20532.t1.p1, GJZJ01044671.1.p1, jg20543.t1.p1, GJZJ01011167.1.p1, jg20547.t1.p1, jg34612.t1.p1, jg33638.t1.p1, jg20633.t1.p1, jg20623.t1.p1, jg20624.t1.p1, GJZJ01058356.1.p1, jg20628.t1.p1, GJZJ01035302.1.p1	FBpp0288826, FBpp0303369, FBpp0305766, FBpp0297683, FBpp0110357, FBpp0306847, FBpp0112309, FBpp0303244
OG0000011	GJZJ01202439.1.p1, GJZJ01072858.1.p1, GJZJ01001943.1.p1, GJZJ01211374.1.p1, GJZJ01186490.1.p1, jg21734.t1.p1, GJZJ01158229.1.p1, jg21733.t1.p1, jg21761.t1.p1, GJZJ01203308.1.p1, jg21762.t1.p1, GJZJ01135555.1.p1, jg21760.t1.p1, GJZJ01047119.1.p1, GJZJ01244721.1.p1, GJZJ01031564.1.p1, GJZJ01024767.1.p1, jg21899.t1.p1, jg21901.t1.p1, jg21873.t1.p1, GJZJ01196037.1.p1, jg21874.t1.p1, jg21890.t1.p1, jg21878.t1.p1, jg21875.t1.p1, jg21891.t1.p1, GJZJ01006406.1.p1, GJZJ01207153.1.p1, jg21892.t1.p1, jg21879.t1.p1, GJZJ01101883.1.p1, GJZJ01103439.1.p1, jg13288.t1.p1, GJZJ01236655.1.p1, jg21889.t1.p1, GJZJ01115460.1.p1, jg21738.t1.p1, GJZJ01267892.1.p1	FBpp0086586, FBpp0289405, FBpp0084553, FBpp0086585, FBpp0085466, FBpp0086580, FBpp0086581, FBpp0086582, FBpp0289404, FBpp0086583, FBpp0309923, FBpp0311645, FBpp0087770, FBpp0082070, FBpp0422628, FBpp0086933, FBpp0072228, FBpp0088127, FBpp0088126
OG0000012	GJZJ01025853.1.p1, GJZJ01222399.1.p1, GJZJ01141883.1.p1, GJZJ01172723.1.p1, jg30358.t1.p1, GJZJ01098412.1.p1, GJZJ01173484.1.p1, jg4886.t1.p1, GJZJ01197838.1.p1, jg30642.t1.p1, GJZJ01044568.1.p1, GJZJ01012664.1.p1, GJZJ01007256.1.p2, GJZJ01049857.1.p1, GJZJ01196195.1.p1, GJZJ01068472.1.p1, jg44732.t1.p1, GJZJ01190594.1.p1, GJZJ01147247.1.p1	FBpp0086346
OG0000013	GJZJ01088379.1.p1, GJZJ01073675.1.p1, GJZJ01237869.1.p1, GJZJ01142185.1.p1, GJZJ01140264.1.p1, GJZJ01179090.1.p1, jg2986.t1.p1, GJZJ01063604.1.p1, GJZJ01165544.1.p1, GJZJ01223414.1.p1, GJZJ01093827.1.p1	FBpp0423089, FBpp0423061, FBpp0300934, FBpp0310276
OG0000014	jg19623.t2.p1, jg19623.t1.p1, GJZJ01171451.1.p1, GJZJ01171451.1.p2, jg2679.t1.p1	FBpp0110103
OG0000014	GJZJ01071730.1.p1, GJZJ01276228.1.p1, GJZJ01200377.1.p1, jg35462.t1.p1	FBpp0111687, FBpp0309581
OG0000016	GJZJ01273596.1.p1, jg27190.t1.p1, GJZJ01030034.1.p1, jg5168.t1.p1, GJZJ01250451.1.p1, jg33824.t1.p1, GJZJ01237800.1.p1, GJZJ01200100.1.p1, jg33823.t1.p1, GJZJ01024975.1.p1, jg25972.t1.p1, GJZJ01005701.1.p1, jg25969.t1.p1, GJZJ01243199.1.p1, jg25963.t1.p1, jg33826.t1.p1, GJZJ01091057.1.p1, GJZJ01167724.1.p1, jg25434.t1.p1, GJZJ01068857.1.p1, jg21065.t1.p1, jg40964.t1.p1, jg9281.t1.p1, GJZJ01231174.1.p1, GJZJ01256801.1.p1, GJZJ01240371.1.p1, GJZJ01193047.1.p1, jg33844.t1.p1, GJZJ01024901.1.p1, GJZJ01246662.1.p1, jg33846.t1.p1, jg33846.t2.p1	FBpp0070094, FBpp0073352, FBpp0072837, FBpp0079095, FBpp0070371, FBpp0301778, FBpp0070372, FBpp0304450, FBpp0428229, FBpp0070411, FBpp0070412, FBpp0087824, FBpp0087825, FBpp0079515, FBpp0073845, FBpp0289683, FBpp0078703, FBpp0078701, FBpp0113050, FBpp0085074
OG0000018	GJZJ01208300.1.p1, GJZJ01130371.1.p1, jg5256.t1.p1, GJZJ01111087.1.p1, jg24063.t1.p1, GJZJ01231675.1.p1, GJZJ01238158.1.p1, GJZJ01046694.1.p1, GJZJ01123787.1.p1, jg25952.t1.p1, jg25953.t1.p1, jg5253.t1.p1, jg31111.t1.p1, jg24062.t1.p1, GJZJ01025696.1.p1, jg24053.t1.p1, jg24052.t1.p1, GJZJ01262367.1.p1, GJZJ01277190.1.p1	FBpp0070182
OG0000019	GJZJ01059992.1.p1	FBpp0077233
OG0000019	GJZJ01240391.1.p1	FBpp0077234
