129215983	GO:0005739,GO:0009249,GO:0009249,GO:0033819
129215984	GO:0004970,GO:0016020
129215985	GO:0005085,GO:0005085,GO:0005886,GO:0007265,GO:0043547
129215986	GO:0004672,GO:0005524,GO:0006468
129215987	GO:0004672,GO:0005524,GO:0006468
129215988	GO:0008467
129215989	GO:0006807
129215990	GO:0005313,GO:0005886,GO:0015175,GO:0015501,GO:0015813
129215991	GO:0016788
129215992	GO:0004970,GO:0016020
129215993	GO:0016936,GO:0030246
129215994	GO:0003827,GO:0005794,GO:0006487
129215995	GO:0000138,GO:0005797,GO:0016020
129215996	GO:0005681,GO:0045292
129215997	GO:0004722,GO:0006470,GO:0043169
129215999	GO:0005737,GO:0005868,GO:0007018,GO:0045505
129216000	GO:0005515
129216001	GO:0005515
129216002	GO:0005096,GO:0005096,GO:0005634,GO:0005737,GO:0030178,GO:0032007,GO:0033596,GO:0043547,GO:0046627,GO:0051056,GO:0051726,GO:0051898
129216003	GO:0004300,GO:0005739,GO:0006635
129216004	GO:0070006
129216005	GO:0000082,GO:0004674,GO:0004674,GO:0005524,GO:0018105,GO:0035329,GO:0043065,GO:0046620
129216006	GO:0033565,GO:0035091,GO:0043130,GO:0043328
129216007	GO:0005524,GO:0033180,GO:0046034,GO:0046961,GO:1902600
129216008	GO:0005634,GO:0015630,GO:0060271,GO:0060294,GO:0060294
129216009	GO:0003824,GO:0030151,GO:0030170
129216011	GO:0003676
129216012	GO:0000132,GO:0000776,GO:0005813,GO:0005871,GO:0007020,GO:0007059,GO:0007100,GO:0008017,GO:0016477,GO:0047496,GO:0051303,GO:0051642
129216013	GO:0006644,GO:0007165,GO:0008195,GO:0046839
129216014	GO:0005515,GO:0005891,GO:0005891,GO:0007268,GO:0007528,GO:0008331,GO:0070588,GO:1901385
129216017	GO:0005515
129216018	GO:0001558,GO:0004674,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0006974,GO:0030010,GO:0030010,GO:0030111,GO:0030295,GO:0042593,GO:1901610
129216020	GO:2001268
129216021	GO:0000786,GO:0003677,GO:0030527,GO:0046982
129216023	GO:0005085,GO:0035025
129216027	GO:0030431,GO:0032222,GO:1903818
129216029	GO:0030431,GO:0032222,GO:1903818
129216030	GO:0004888,GO:0007165,GO:0007268,GO:0022848,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0050877
129216032	GO:0005737,GO:0097352
129216033	GO:0038023
129216034	GO:0005085,GO:0005515,GO:0005543,GO:0032012
129216036	GO:0004725,GO:0006470
129216037	GO:0004972,GO:0005886,GO:0006811,GO:0035235,GO:0035249,GO:0045211,GO:0050804,GO:1904315
129216040	GO:0000978,GO:0001228,GO:0005634,GO:0006357
129216041	GO:0003676,GO:0003899,GO:0003899,GO:0005736,GO:0006351,GO:0006351,GO:0006363,GO:0008270
129216044	GO:0005085,GO:0005509,GO:0005515,GO:0035025
129216045	GO:0004559,GO:0004559,GO:0006013,GO:0009313,GO:0030246
129216046	GO:0005198,GO:0005509,GO:0005737,GO:0005882,GO:0008017,GO:0016020,GO:0042060,GO:0045104
129216047	GO:0000179,GO:0000179,GO:0005759,GO:0031167
129216048	GO:0005634,GO:0005737,GO:0008017
129216049	GO:0003676,GO:0004523,GO:0004523,GO:0043137
129216050	GO:0004609,GO:0004609,GO:0005739,GO:0005739,GO:0006646
129216055	GO:0004672,GO:0005524,GO:0006468,GO:0007283
129216056	GO:0000290,GO:0000340,GO:0000932,GO:0005634,GO:0016787
129216057	GO:0008320,GO:0030943,GO:0042721,GO:0045039
129216058	GO:0000146,GO:0005524,GO:0005737,GO:0005886,GO:0005902,GO:0007015,GO:0015629,GO:0016459,GO:0030050,GO:0031982,GO:0051015
129216059	GO:0003676,GO:0015074
129216060	GO:0005576,GO:0016651
129216063	GO:0005506,GO:0005737,GO:0006449,GO:0019511,GO:0031418,GO:0031543
129216064	GO:0004683,GO:0005516,GO:0005524,GO:0006468
129216067	GO:0004499,GO:0050660,GO:0050661
129216068	GO:0003684,GO:0006303,GO:0031848,GO:0035312,GO:0036297
129216070	GO:0004115,GO:0004118,GO:0005634,GO:0005741,GO:0005743,GO:0005759,GO:0005829,GO:0010628,GO:0010754,GO:0010821,GO:0019933,GO:0019934,GO:0042803,GO:0043951,GO:0046069,GO:0047555,GO:0048471,GO:0097060
129216071	GO:0097602,GO:2000060
129216072	GO:0003723
129216073	GO:0004347,GO:0004347,GO:0005829,GO:0006094,GO:0006094,GO:0006096,GO:0006096,GO:0048029,GO:0051156,GO:0097367
129216074	GO:0005509
129216075	GO:0016020,GO:0016020,GO:0035725
129216076	GO:0006886,GO:0030117,GO:0030122,GO:0030122,GO:0035615,GO:0035615,GO:0072583,GO:0072583
129216077	GO:0005783,GO:0005789
129216079	GO:0005483,GO:0005774,GO:0006886,GO:0019905,GO:0031201
129216081	GO:0000139,GO:0005537,GO:0005789,GO:0005793,GO:0006888,GO:0007029,GO:0007030,GO:0030134
129216082	GO:0003682,GO:0005515,GO:0005737
129216084	GO:0005452,GO:0005452,GO:0005886,GO:0006820,GO:0006820,GO:0008509,GO:0008510,GO:0015701,GO:0051453,GO:0055085
129216085	GO:0016491
129216088	GO:0003676,GO:0008270
129216089	GO:0000184,GO:0005515,GO:0005697,GO:0042162,GO:0070034
129216090	GO:0005739,GO:0016818
129216091	GO:0004613,GO:0004613,GO:0005525,GO:0005525,GO:0005829,GO:0006094,GO:0006094,GO:0019543,GO:0030145,GO:0032869,GO:0042594,GO:0046327,GO:0070365,GO:0071333,GO:0071549
129216092	GO:0005789,GO:0009922,GO:0009922,GO:0019367,GO:0030148,GO:0034625,GO:0034626,GO:0042761
129216093	GO:0005049,GO:0005635,GO:0005829,GO:0006606,GO:0006611,GO:0031267
129216095	GO:0000413,GO:0003723,GO:0003755,GO:0006457,GO:0043231
129216096	GO:0005524,GO:0005737,GO:0016301
129216097	GO:0000381,GO:0003729,GO:0005634
129216099	GO:0003924,GO:0005525,GO:0005525,GO:0005794,GO:0006886,GO:0033365,GO:0043001
129216100	GO:0000298,GO:0005634,GO:0005737,GO:0008486,GO:0034431,GO:0034432,GO:0071543,GO:1901907,GO:1901909,GO:1901911
129216101	GO:0000828,GO:0005634,GO:0005737,GO:0032958,GO:0032958,GO:0046854
129216102	GO:0000122,GO:0005634,GO:0005737,GO:0030154,GO:0032922,GO:0046983,GO:0140110
129216103	GO:0005515
129216104	GO:0000179,GO:0000179,GO:0005759,GO:0006391,GO:0031167,GO:0034246
