Description	Count	p	Ontology
phosphatidylethanolamine biosynthetic process	2	0.035	bp
cysteine-type endopeptidase activity	6	0.0033	mf
heme transmembrane transporter activity	2	0.0361	mf
nuclear localization sequence binding	2	0.0361	mf
metal ion binding	34	0.0456	mf
