Description	Count	p	Ontology
error-prone translesion synthesis	2	0.0017	bp
proteolysis	8	0.0133	bp
protein deubiquitination	3	0.0246	bp
heme transport	2	0.0392	bp
extracellular space	8	0.0011	cc
vacuole	4	0.0086	cc
cell surface	3	0.0357	cc
heme transmembrane transporter activity	2	0.0020	mf
heme binding	5	0.0030	mf
DNA-directed DNA polymerase activity	2	0.0088	mf
cysteine-type endopeptidase activity	3	0.0092	mf
cysteine-type deubiquitinase activity	3	0.0229	mf
damaged DNA binding	2	0.0307	mf
