HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0004943	GJZJ01190265.1	129216517	XM_054850732	GO:0005634 [Name: nucleus]; GO:0003677 [Name: DNA binding]	tigger transposable element-derived protein 4-like
N5.HOG0004943	GJZJ01190265.1	129216018	XM_054850155	GO:0042593 [Name: glucose homeostasis]; GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0006468 [Name: protein phosphorylation]; GO:0006974 [Name: cellular response to DNA damage stimulus]; GO:0030295 [Name: protein kinase activator activity]; GO:0030111 [Name: regulation of Wnt signaling pathway]; GO:1901610 [Name: positive regulation of vesicle transport along microtubule]; GO:0030010 [Name: establishment of cell polarity]; GO:0001558 [Name: regulation of cell growth]; GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0005524 [Name: ATP binding]	serine/threonine-protein kinase STK11-like
N5.HOG0005114	GJZJ01265084.1	129232663	XM_054866795	GO:0005515 [Name: protein binding]	protein artichoke-like
N5.HOG0005114	jg8749.t1	129232663	XM_054866795	GO:0005515 [Name: protein binding]	protein artichoke-like
N5.HOG0005872	jg32319.t1	129224730	XM_054859279	GO:0005524 [Name: ATP binding]; GO:0004672 [Name: protein kinase activity]; GO:0006468 [Name: protein phosphorylation]	dual specificity mitogen-activated protein kinase kinase 1-like
N5.HOG0006886	GJZJ01136004.1	129227719	XM_054862325	GO:0016747 [Name: transferase activity, transferring acyl groups other than amino-acyl groups]	nose resistant to fluoxetine protein 6-like
N5.HOG0006886	jg28971.t1	129232051	XM_054866286	-	uncharacterized LOC129232051
N5.HOG0006928	GJZJ01193277.1	129232051	XM_054866286	-	uncharacterized LOC129232051
N5.HOG0006928	jg15265.t1	129232051	XM_054866286	-	uncharacterized LOC129232051
N5.HOG0013420	jg27301.t1	129217804	XM_054852148	GO:0016020 [Name: membrane]	uncharacterized LOC129217804
N5.HOG0013420	GJZJ01207614.1	129223890	XM_054858275	GO:0016020 [Name: membrane]	uncharacterized LOC129223890
N5.HOG0013420	GJZJ01191029.1	129223906	XM_054858288	GO:0016020 [Name: membrane]	uncharacterized LOC129223906
N5.HOG0016909	GJZJ01249029.1	129230748	XM_054865180	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016910	GJZJ01124814.1	129230748	XM_054865179	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016911	GJZJ01156281.1	129230748	XM_054865181	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0018631	GJZJ01163381.1	129217666	XM_054851994	GO:0005524 [Name: ATP binding]; GO:0007052 [Name: mitotic spindle organization]; GO:0008017 [Name: microtubule binding]; GO:0003777 [Name: microtubule motor activity]; GO:0007018 [Name: microtubule-based movement]	kinesin-like protein KIF21A
N5.HOG0018631	jg37189.t1	129217666	XM_054851994	GO:0005524 [Name: ATP binding]; GO:0007052 [Name: mitotic spindle organization]; GO:0008017 [Name: microtubule binding]; GO:0003777 [Name: microtubule motor activity]; GO:0007018 [Name: microtubule-based movement]	kinesin-like protein KIF21A
N5.HOG0019706	jg19321.t1	129218502	XM_054852788	GO:0003713 [Name: transcription coactivator activity]; GO:0000123 [Name: histone acetyltransferase complex]; GO:0004402 [Name: histone acetyltransferase activity]; GO:0031490 [Name: chromatin DNA binding]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]	CREB-binding protein-like
N5.HOG0019712	GJZJ01197850.1	129218502	XM_054852788	GO:0003713 [Name: transcription coactivator activity]; GO:0000123 [Name: histone acetyltransferase complex]; GO:0004402 [Name: histone acetyltransferase activity]; GO:0031490 [Name: chromatin DNA binding]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]	CREB-binding protein-like
N5.HOG0019715	GJZJ01162413.1	129218502	XM_054852788	GO:0003713 [Name: transcription coactivator activity]; GO:0000123 [Name: histone acetyltransferase complex]; GO:0004402 [Name: histone acetyltransferase activity]; GO:0031490 [Name: chromatin DNA binding]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]	CREB-binding protein-like
N5.HOG0019715	jg19319.t1	129218502	XM_054852788	GO:0003713 [Name: transcription coactivator activity]; GO:0000123 [Name: histone acetyltransferase complex]; GO:0004402 [Name: histone acetyltransferase activity]; GO:0031490 [Name: chromatin DNA binding]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]	CREB-binding protein-like
N5.HOG0021744	GJZJ01182524.1	129217417	XM_054851715	GO:0005739 [Name: mitochondrion]; GO:0004303 [Name: estradiol 17-beta-dehydrogenase activity]; GO:0006631 [Name: fatty acid metabolic process]; GO:0008209 [Name: androgen metabolic process]; GO:0008210 [Name: estrogen metabolic process]	3-hydroxyacyl-CoA dehydrogenase type-2-like
