Species,Infraorder,Family,Web_Type,Cribellum,Accession
Misgolas_IDV6741,Mygalomorphae,Idiopidae,none,no,ICNT01
Macrothele_amamiensis,Mygalomorphae,Macrothelidae,none,no,IALU01
Macrothele_amamiensis,Mygalomorphae,Macrothelidae,funnel,no,DRR296641
Macrothele_gigas,Mygalomorphae,Macrothelidae,none,no,IAEV01
Macrothele_gigas,Mygalomorphae,Macrothelidae,funnel,no,DRR296460
Macrothele_yaginumai,Mygalomorphae,Macrothelidae,funnel,no,DRR297290
Sinopesa_kumensis,Mygalomorphae,Nemesiidae,none,no,IASD01
Sinopesa_kumensis,Mygalomorphae,Nemesiidea,trapdoor,no,DRR296804
Acanthoscurria_geniculata,Mygalomorphae,Theraphosidae,none,no,GAZS01
Acanthoscurria_geniculata,Mygalomorphae,Theraphosidae,burrow,no,SRR10420563
Aphonopelma_hentzi,Mygalomorphae,Theraphosidae,burrow,no,SRR13605914
Bumba_cabocla,Mygalomorphae,Theraphosidae,burrow,no,SRR8944285
Caribena_versicolor,Mygalomorphae,Theraphosidae,arb_funnel,no,SRR8944282
Ephebopus_cyanognathus,Mygalomorphae,Theraphosidae,burrow,no,SRR8944275
Lampropelma_violaceopes,Mygalomorphae,Theraphosidae,none,no,IAIH01
Lampropelma_violaceopes,Mygalomorphae,Theraphosidae,burrow,no,DRR296550
Monocentropus_balfouri,Mygalomorphae,Theraphosidae,burrow,no,SRR8944273
Pamphobeteus_verdolaga,Mygalomorphae,Theraphosidae,none,no,GIUY01
Pelinobius_muticus,Mygalomorphae,Theraphosidae,burrow,no,SRR8944274
Phlogiellus_inermis,Mygalomorphae,Theraphosidae,burrow,no,SRR8944272
Phormictopus_atrichomatus,Mygalomorphae,Theraphosidae,burrow,no,SRR8944270
Psalmopoeus_cambridgei,Mygalomorphae,Theraphosidae,arb_funnel,no,SRR8944279
Pterinochilus_lugardi,Mygalomorphae,Theraphosidae,burrow,no,SRR8944284
Stromatopelma_calceatum,Mygalomorphae,Theraphosidae,burrow,no,SRR8944276
Tapinauchenius_violaceus,Mygalomorphae,Theraphosidae,burrow,no,SRR8944283
Gnathonarium_exsiccatum,,Linyphiidae,,,
Gongylidioides_onoi,,Linyphiidae,,,
Mesida_sp_IDV5268,,Tetragnathidae,,,
Neriene_radiata,,Linyphiidae,,,
Neriene_variabilis,,Linyphiidae,,,
Neserigone_basarukini,,Linyphiidae,,,
Oia_imadatei,,Linyphiidae,,,
Oilinyphia_peculiaris,,Linyphiidae,,,
Paikiniana_mira,,Linyphiidae,,,
Pseudomicrargus_latitegulatus,,Linyphiidae,,,
Ryojius_japonicus,,Linyphiidae,,,
Saaristoa_nipponica,,Linyphiidae,,,
Saitonia_ojiroensis,,Linyphiidae,,,
Solenysa_reflexilis,,Linyphiidae,,,
Strandella_quadrimaculata,,Linyphiidae,,,
Syedra_oii,,Linyphiidae,,,
Ummeliata_osakaensis,,Linyphiidae,,,
Walckenaeria_golovatchi,,Linyphiidae,,,
