Description	Count	p	Ontology
transmembrane transport	41	0.0053	bp
regulation of cytokinesis	4	0.0134	bp
monoatomic anion transport	6	0.0139	bp
protein localization to phagophore assembly site	4	0.0139	bp
regulation of intracellular pH	3	0.0244	bp
heme biosynthetic process	4	0.0245	bp
response to endoplasmic reticulum stress	4	0.0245	bp
tissue regeneration	3	0.0297	bp
spindle midzone	4	0.00254	cc
adherens junction	4	0.01370	cc
apical part of cell	4	0.02408	cc
phagophore assembly site	6	0.02740	cc
centrosome	10	0.02991	cc
chitin-based extracellular matrix	4	0.03810	cc
pyridoxal phosphate binding	9	0.0007	mf
tRNA binding	7	0.0215	mf
double-stranded RNA binding	5	0.0254	mf
monoatomic anion transmembrane transporter activity	4	0.0284	mf
single-stranded RNA binding	6	0.0314	mf
phosphatidylinositol-3-phosphate binding	3	0.0365	mf
structural constituent of chitin-based larval cuticle	4	0.0496	mf
