Description	Count	p	Ontology
proteasome-mediated ubiquitin-dependent protein catabolic process	14	0.0059	bp
organic acid metabolic process	25	0.0060	bp
protein deubiquitination	7	0.0337	bp
intracellular membrane-bounded organelle	291	0.018	cc
replication fork	7	0.026	cc
ubiquitin binding	8	0.0039	mf
metal ion binding	73	0.0199	mf
phosphatase activity	26	0.0280	mf
L-ascorbic acid binding	4	0.0292	mf
