Description	Count	p	Ontology
transmembrane transport	40	0.0024	bp
metal ion transport	10	0.0039	bp
regulation of cytokinesis	4	0.0135	bp
monoatomic anion transport	5	0.0135	bp
nucleobase-containing compound metabolic process	132	0.0141	bp
nuclear-transcribed mRNA poly(A) tail shortening	4	0.0248	bp
phosphatidylethanolamine biosynthetic process	3	0.0301	bp
HAUS complex	3	0.030	cc
CCR4-NOT core complex	3	0.030	cc
PRC1 complex	3	0.030	cc
spindle midzone	3	0.030	cc
pyridoxal phosphate binding	7	0.0046	mf
phosphatidylinositol-3-phosphate binding	4	0.0328	mf
catalytic activity	221	0.0374	mf
extracellular matrix structural constituent conferring tensile strength	3	0.0375	mf
