Description	Count	p	Ontology
response to hydrogen peroxide	2	0.00031	bp
proteolysis	5	0.00059	bp
hydrogen peroxide catabolic process	2	0.00065	bp
proteasome assembly	1	0.03378	bp
synaptic vesicle endocytosis	1	0.03378	bp
acrosome reaction	1	0.04480	bp
phototransduction	1	0.04480	bp
extracellular space	5	0.0013	cc
extracellular matrix	3	0.0189	cc
peroxisome	2	0.0222	cc
external side of plasma membrane	1	0.0303	cc
RNA cap binding complex	1	0.0303	cc
proteasome core complex, alpha-subunit complex	1	0.0421	cc
PRC1 complex	1	0.0480	cc
apical junction complex	1	0.0480	cc
serine-type endopeptidase inhibitor activity	2	0.00352	mf
serine-type endopeptidase activity	3	0.00464	mf
heme binding	3	0.00892	mf
neurexin family protein binding	1	0.03194	mf
nuclear localization sequence binding	1	0.03821	mf
adenosine deaminase activity	1	0.03821	mf
