Description	Count	p	Ontology
negative regulation of cell population proliferation	2	0.0079	bp
protein dephosphorylation	3	0.0363	bp
negative regulation of mitotic cell cycle	2	0.0467	bp
phagophore assembly site	2	0.044	cc
actin binding	4	0.044	mf
