Description	Count	p	Ontology
methylation	18	0.0099	bp
cellular response to oxidative stress	5	0.0101	bp
glucose metabolic process	4	0.0102	bp
rRNA processing	23	0.0103	bp
dephosphorylation	15	0.0336	bp
DNA-templated transcription initiation	9	0.0469	bp
response to endoplasmic reticulum stress	6	0.0471	bp
preribosome, small subunit precursor	7	0.00052	cc
ciliary basal body	8	0.00550	cc
mitochondrion	87	0.00557	cc
nucleoplasm	22	0.00580	cc
mitochondrial small ribosomal subunit	7	0.03610	cc
Cul4-RING E3 ubiquitin ligase complex	5	0.04169	cc
zinc ion binding	42	0.0017	mf
tRNA binding	8	0.0153	mf
damaged DNA binding	6	0.0154	mf
structural constituent of ribosome	22	0.0169	mf
phosphatase activity	21	0.0245	mf
protein-lysine N-methyltransferase activity	4	0.0318	mf
double-stranded RNA binding	5	0.0411	mf
