"HOG","z_obs","orb_count","non_orb_count","n_perm_valid","orb_p","non_orb_p","orb_q","non_orb_q"
"N5.HOG0000042",0.148240486525334,2,5,7,0.375,0.75,0.936493425878901,1
"N5.HOG0000052",0.985520779150626,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0000147",0.053393726933547,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0000196",-1.58103049664399,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0000276",-0.586813022828192,7,2,9,0.8,0.3,0.951321949262116,1
"N5.HOG0000428",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0000526",1.36487825206162,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0000608",1.20191677789183,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0000716",-1.46857446745494,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0001006",0.501302443387554,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0001041",-1.14421974659428,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0001043",-0.145968841680254,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0001044",0.159602127970969,2,6,8,0.333333333333333,0.777777777777778,0.936464361187368,1
"N5.HOG0001051",-2.44481428349496,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0001052",-1.21849152324939,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0001055",-2.02682588607864,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0001166",-0.0493964078134486,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0001168",-0.21785245896546,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0001310",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0001531",-0.146911423015815,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0001595",-0.0309374654199694,6,3,9,0.7,0.4,0.94024330996738,1
"N5.HOG0001603",-0.413136363065458,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0001608",0.734613210046107,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0001609",1.03738665800158,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0001616",-0.662049869317014,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0001627",-2.05754704253644,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0001633",-1.17526300406373,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0001635",-0.0500446773524028,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0001639",0.468847929842094,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0001643",-0.6626098212196,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0001875",-1.20465817713291,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0002031",1.00528574977699,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002033",2.2489763288279,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002045",-1.02722342790387,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0002047",1.65216555320702,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002048",-2.54248647328877,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0002053",2.55819352107449,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002054",3.59594715203762,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002055",-2.33748369961263,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0002066",-0.388813327165805,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0002072",1.18640283523823,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0002076",1.57534444756612,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002078",1.01450214179429,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002083",0.622397092785125,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
