"HOG","z_obs","orb_count","non_orb_count","n_perm_valid","orb_p","non_orb_p","orb_q","non_orb_q"
"N5.HOG0002108",-2.85479683847852,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0002110",-2.04269580648877,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0002114",1.5254562881401,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0002150",0.336675805306862,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0002151",-0.104968687413236,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0002159",-2.1929420360294,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0002161",0.0559411406599518,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0002163",-0.0610808145587947,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0002164",0.927075075226366,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0002165",0.919821006389311,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0002192",-0.00929834466693032,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0002195",-1.05868215244504,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0002208",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0002209",0.582111113333277,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0002210",1.03626026860878,0,6,6,0.142857142857143,1,0.924216435365664,1
"N5.HOG0002229",0.581847967682661,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0002242",0.945603130123135,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002244",-0.391939627220808,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0002261",-0.731698450750286,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0002262",-0.265134155025997,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0002265",1.71302891224023,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002280",0.18417678315005,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0002283",-1.47899331543878,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0002298",3.43847316368097,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002341",-0.531105983185499,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0002342",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0002345",0.382780694492722,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0002348",1.30288547452916,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0002352",-0.67877642847971,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0002353",0.691333594999285,2,7,9,0.3,0.8,0.936464361187368,1
"N5.HOG0002363",0.27018302975217,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0002368",0.718667610731045,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0002373",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0002375",1.22534560184657,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0002378",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0002565",0.345863725888255,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0002607",-1.08797396330799,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0002648",-0.797009372991755,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0003430",0.984978467080852,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003431",0.536673711913492,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003447",1.46754320626063,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0003483",1.72033776608931,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0003502",2.02398972444979,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003526",0.276366956685624,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0003538",1.30087156065522,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003548",-0.00935651100803966,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0003781",-0.0997456909510066,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0003890",0.146505900779664,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0003891",0.109926384566323,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0003908",-1.03299951979021,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0003920",-2.25064692806668,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0003923",1.58871085438973,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0003924",-0.788419627980376,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0003925",-0.320368481140611,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0003927",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0003928",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0003929",1.32994919513919,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0003933",0.920475454254772,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003949",1.57522493186708,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003952",-0.653495116935488,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0003953",0.545997814952638,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0003959",-1.15668065453519,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0003960",-0.299990608806007,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0003965",1.04885227373238,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0003969",0.285137643985681,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0003978",-0.478685892236216,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0003980",0.0754072007493787,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0003982",0.807585927772967,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0004003",1.043830144166,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004004",-0.0106245229415891,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0004006",3.47350079879338,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0004015",-1.6245542878587,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004029",0.422195975456402,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004030",-1.54006996090903,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0004033",1.00188742541451,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0004036",-2.37151825790685,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0004038",-2.44781218437028,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004040",-1.0390391224166,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004068",-1.53928769686895,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0004079",-0.612157099014084,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0004086",0.422253532431953,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004092",0.709525282243812,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004096",2.54148456737106,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0004131",-0.464545773146399,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0004196",-0.850676890586018,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004197",-0.672522181990486,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0004204",-2.74195343291317,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0004205",0.279706984147172,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0004211",0.880845914416557,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004230",0.572228603835275,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004235",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0004281",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0004282",-2.11796965383045,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004291",-0.570725757167347,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004301",-1.58198503921873,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004303",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0004304",0.303534801809036,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004305",-2.39068366637359,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004310",-0.552497819277922,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0004326",0.67396208353115,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0004331",0.570401789556091,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004332",-0.494927614472497,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004333",-0.986693734279462,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0004334",-0.381703318371186,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0004335",-1.04061126423169,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004336",0.320895408178011,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004339",0.0008125368288743,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004344",-0.0821090895402552,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004345",-0.94021015957528,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0004350",0.0756018601900215,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0004352",1.31831758234477,0,9,9,0.1,1,0.924216435365664,1
"N5.HOG0004366",-0.379566295705171,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0004367",-0.903532631419606,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004374",2.3250112259276,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0004384",-1.86885964472482,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004388",-1.04360108695881,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0004397",1.6029160168453,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0004398",0.637284084659256,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0004401",-1.08043003118889,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004418",-1.38484005845316,9,0,9,1,0.1,1,1
"N5.HOG0004421",1.81215975130516,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004422",-0.35949334915125,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0004428",-0.854801569076109,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004465",1.39127279125559,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0004466",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0004500",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0004502",1.43365362005252,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0004508",1.40759894980842,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0004536",1.67175141635165,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0004537",-1.27627272846302,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0004539",0.00876714554256295,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0004813",0.521945425745393,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0004854",0.890959100416408,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0004857",-0.612422642944244,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0004882",1.17030978435902,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005018",1.98009823322812,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005089",-0.47948198802504,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0005093",2.55098078978262,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005114",-0.0192316576873251,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0005128",-2.06335688991884,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0005131",-0.310385479452636,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005132",-0.17573191413891,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0005133",2.51083177226604,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005138",1.55578000684886,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005147",0.409338742670193,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005150",1.54112484168945,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005151",-0.741202933205452,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0005156",0.267289206181771,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005157",2.14283811183443,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005188",-1.57295922363197,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0005244",-2.64849178002613,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0005390",-0.937059005262337,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0005395",-0.172825293238419,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005399",0.180976349236095,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005417",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0005418",2.23066886058095,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005437",-1.2211149473284,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005438",-0.0127087861219984,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0005440",0.655502458172545,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0005474",-1.67916818594555,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0005527",0.334940929899957,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0005531",-0.420121586892154,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005532",-0.301105633106262,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0005559",2.20692094083594,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005596",2.06924011302493,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005597",1.37207205924303,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005613",0.0384146568870046,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0005619",2.3937109019704,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005621",-1.19099869239072,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0005624",-1.1775140869208,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0005631",0.223885471612592,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005645",1.48675293728866,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0005655",-0.68587421605233,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0005667",1.43760672357601,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005680",0.932353097654375,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0005681",1.18517247615608,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005684",-0.475771085150874,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0005688",0.987379224976544,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0005714",-1.5484113571575,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0005741",1.88623274963342,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0005744",-0.25967250773496,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0005752",1.27031155680787,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005761",1.26348886229628,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0005763",1.30380757215905,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0005765",0.218222109393366,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0006029",-1.26816080218472,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0006030",1.34438980034129,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006042",-0.130437182422754,3,7,10,0.363636363636364,0.727272727272727,0.936464361187368,1
"N5.HOG0006044",-2.93703127476631,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0006049",0.554894304932409,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006060",-0.710647672296071,9,1,10,0.909090909090909,0.181818181818182,0.962433119260841,1
"N5.HOG0006062",0.440356961730998,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006071",0.33281730945293,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0006077",1.54122305569738,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0006078",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0006079",1.01772675239656,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006081",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0006252",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0006286",-1.71617576505892,10,0,10,1,0.0909090909090909,1,1
"N5.HOG0006301",1.88076577959925,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006664",-1.70737987051029,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0006670",-0.799994187628403,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0006673",1.269197812714,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0006682",0.251068831234082,1,7,8,0.222222222222222,0.888888888888889,0.928729988770207,1
"N5.HOG0006683",-2.33632507897605,6,0,6,1,0.142857142857143,1,1
"N5.HOG0006691",0.0965839990574006,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0006692",2.06417243806323,1,9,10,0.181818181818182,0.909090909090909,0.924216435365664,1
"N5.HOG0006694",-0.368545168468571,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0006697",0.765560121483785,0,6,6,0.142857142857143,1,0.924216435365664,1
"N5.HOG0006712",0.0989318962962041,4,5,9,0.5,0.6,0.936493425878901,1
"N5.HOG0006770",0.219750325591624,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0006828",2.0986410822769,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0006884",-0.509282130249927,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0006886",1.17787074528618,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0006890",1.25727974045813,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0006901",-0.924287980346031,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0006912",-0.154521531790378,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0006913",-1.9078999520997,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0006935",-1.17688651246039,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0006951",-0.377472615356998,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0006961",-0.689814592359695,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0006965",-0.775959547455341,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0006969",0.0850888873567344,6,4,10,0.636363636363636,0.454545454545455,0.936493425878901,1
"N5.HOG0006972",1.96058186425546,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0007042",-1.2692790598268,8,2,10,0.818181818181818,0.272727272727273,0.951321949262116,1
"N5.HOG0007049",0.95488125222329,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0007052",1.71094489604597,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0007057",0.123722065190769,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0007063",0.650059517730356,2,8,10,0.272727272727273,0.818181818181818,0.928729988770207,1
"N5.HOG0007067",-0.0840118459390887,4,5,9,0.5,0.6,0.936493425878901,1
"N5.HOG0007070",1.54759295317976,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0007082",0.139395487018942,4,6,10,0.454545454545455,0.636363636363636,0.936493425878901,1
"N5.HOG0007083",1.49496171722592,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0007085",3.0467100190559,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0007119",NA,0,0,0,NA,NA,NA,NA
"N5.HOG0007209",-0.963011351630891,7,3,10,0.727272727272727,0.363636363636364,0.94024330996738,1
"N5.HOG0007270",3.35902867767768,0,10,10,0.0909090909090909,1,0.904057352043929,1
"N5.HOG0007297",-0.351030822587329,5,5,10,0.545454545454545,0.545454545454545,0.936493425878901,1
"N5.HOG0007310",-1.73855448049164,10,0,10,1,0.0909090909090909,1,1
