HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue
N5.HOG0064725,,0.304696249397803,0.192255728626799,1.58484874065453,0.113000705224329,-0.586827313180275,0.127635681059056,-4.59767447716094,4.27232810487768e-06,0.0001071623358852
N5.HOG0067529,,0.370021712075297,0.15182004536637,2.43723884538675,0.0147999002426673,-0.402232285879646,0.0877936324168307,-4.5815655965789,4.61507792916036e-06,0.0001147440578835
N5.HOG0055772,,0.541345410149675,0.1410709907223,3.8373970961565,0.0001243453130045,-0.363325084826249,0.0794028947535452,-4.57571585965419,4.74594327515784e-06,0.0001169716779178
N5.HOG0028593,,-0.0961264730928966,0.219652165438257,-0.437630436745761,0.661654203709153,-0.773666422899003,0.169307911104012,-4.56958223543206,4.88697382889448e-06,0.0001200994963643
N5.HOG0059163,,0.278626279940543,0.190037980033873,1.46616102681622,0.142604423315737,-0.56751343545087,0.124281035558456,-4.56637195611342,4.96237918519332e-06,0.0001216011671621
N5.HOG0025333,,1.18375890611573,0.196546565975731,6.02279108891626,1.7143466438411702e-09,-0.601097858940949,0.131950222177136,-4.55548955525067,5.2263712699371e-06,0.0001269724457834
N5.HOG0063933,,0.279884866935186,0.203998174158551,1.37199692149036,0.170064396169432,-0.646614646258076,0.141966694552753,-4.55469255162382,5.24622508981687e-06,0.0001270916667642
N5.HOG0061084,,0.420548402336562,0.16748216500549,2.51100409600495,0.0120388300094814,-0.459156405688842,0.100907395955019,-4.55027504518616,5.35758376043923e-06,0.0001290540195864
N5.HOG0064231,,0.255303428625094,0.188599846693881,1.35367781628943,0.175839188543366,-0.555718844052187,0.122220002561784,-4.5468731173628,5.44488004401602e-06,0.0001304179096267
N5.HOG0063421,,0.251350735392655,0.146821825221876,1.71194394983726,0.0869069982476948,-0.379565959304778,0.0835680198802779,-4.54200015566429,5.57230000126664e-06,0.0001328643580172
N5.HOG0066497,,0.428406754736977,0.234857971112417,1.82410991931764,0.0681354562235013,-0.945284558045221,0.208165888263212,-4.54101565790631,5.59838731953029e-06,0.0001328643580172
N5.HOG0060653,,0.353907871598751,0.191832809215105,1.84487665611938,0.0650554831568892,-0.571496381291886,0.125843232195997,-4.54133584555265,5.58989015413601e-06,0.0001328643580172
N5.HOG0064025,,0.36030641052735,0.11861896118972,3.03751109361912,0.0023854062420922,-0.288216501448163,0.0635497611212586,-4.53528851034106,5.75247956432352e-06,0.0001354955881138
N5.HOG0064719,,0.311372017882275,0.139565073689982,2.23101675548089,0.0256800191533218,-0.35349266989447,0.0780321370368765,-4.5300908486899,5.89583286007265e-06,0.000137942443276
N5.HOG0062163,,0.34540635236559,0.15390764283765,2.24424431429921,0.0248166862436076,-0.403145001610816,0.089058214452694,-4.52675818944202,5.98954094570537e-06,0.000139533325677
N5.HOG0059841,,0.269849040887522,0.129646797308505,2.08141694580696,0.037395758925772,-0.320949804229668,0.0709337230673982,-4.52464343264084,6.04974133014572e-06,0.0001405506932883
N5.HOG0054874,,0.488794217875409,0.171821444905095,2.84478004561882,0.0044442100096408,-0.473185123316206,0.104599235456082,-4.52379141446861,6.0741588456406e-06,0.0001407334558921
N5.HOG0065868,,0.107208406635127,0.113338173990065,0.945916127469326,0.344191366987282,-0.27119216813707,0.0600796222972199,-4.51387937819341,6.36524283157699e-06,0.0001458875861685
N5.HOG0066643,,0.149807497244496,0.134894485903008,1.11055315746716,0.266760735079078,-0.336439359435322,0.0745629446953362,-4.51215226021466,6.41730923180034e-06,0.0001462922795203
N5.HOG0064781,,0.281844577824532,0.0971686411282468,2.90057136285917,0.0037248301215286,-0.225948348026928,0.0501338882458519,-4.50689854572815,6.57820666647155e-06,0.0001487636893378
N5.HOG0067680,,0.239393037309402,0.143828957052343,1.66442865341977,0.0960267979342312,-0.36302984446146,0.0809389238393388,-4.48523191613052,7.28346699704995e-06,0.0001625513021068
N5.HOG0065339,,0.478926497862358,0.153002937091289,3.13017845910112,0.0017470013658537,-0.393599405875729,0.0879420108702699,-4.47566984175923,7.61721176092887e-06,0.0001673796177793
N5.HOG0033532,,0.53723362290297,0.216002880225791,2.48715953389784,0.0128767640714296,-0.704881419778223,0.157492523318111,-4.47565004945961,7.61791750042582e-06,0.0001673796177793
N5.HOG0065852,,0.361344854628972,0.116489327046678,3.10195675252015,0.0019224604190359,-0.27657996140568,0.0619562243142876,-4.46411905287616,8.03988536803937e-06,0.0001757427941719
N5.HOG0067184,,0.185080830393721,0.136277747972564,1.35811482906939,0.174427250486667,-0.335659857434117,0.0752885176256713,-4.45831406992221,8.2606806222293e-06,0.0001799567453906
N5.HOG0064936,,0.249535316927881,0.163058721512069,1.53034020268221,0.125932541975656,-0.428208468797179,0.0960551707154596,-4.45794292600493,8.27499263283285e-06,0.0001799567453906
N5.HOG0060112,,0.424969060022566,0.209519387432982,2.02830423107503,0.0425292074150734,-0.653386149613524,0.146596527497598,-4.45703701695274,8.31002579368131e-06,0.0001802575967029
N5.HOG0065532,,0.269129672694804,0.125158661225102,2.15030801752319,0.0315308586365304,-0.301230662804748,0.0676098027100266,-4.45542880958703,8.37256761475142e-06,0.0001810572337289
N5.HOG0066312,,0.306708086837399,0.230072247615073,1.3330946692473,0.182500738537596,-0.821089731489349,0.184307624864157,-4.45499599972887,8.38947590067411e-06,0.0001810572337289
N5.HOG0045460,,0.7928098124216,0.207870186522586,3.81396594521003,0.000136754320921,-0.64120019088531,0.144040529701936,-4.45152619344117,8.52621301685309e-06,0.0001835423782834
