"HOG","error","fit","coef_.Intercept._Estimate","coef_.Intercept._StdErr","coef_.Intercept._z.value","coef_.Intercept._p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value","logLik","qvalue"
"N5.HOG0000042","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0000052",NA,NA,-3.16765045449686,1.62591106792852,-1.94823106686431,0.0513873210865997,0.352162067657941,1.03587740315222,0.33996500607726,0.733882881109412,NA,0.933192738420773
"N5.HOG0000147",NA,NA,-3.19901971262989,1.35794262666624,-2.35578414714289,0.0184836546554893,0.530443070696757,0.851382127650145,0.623037592016179,0.53325981885399,NA,0.92158185833144
"N5.HOG0000196",NA,NA,-1.96971622846943,1.70989713059143,-1.15195013385871,0.249341565186102,-2.12397007483112,5.89347084619827,-0.36039375272404,0.718552697801572,NA,0.933192738420773
"N5.HOG0000276","system is computationally singular: reciprocal condition number = 4.82563e-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0000428",NA,NA,-2.25370593986998,1.38670763088824,-1.62522069517018,0.104115542299653,0.0939654463404295,1.04929919999422,0.0895506699528097,0.928644286501475,NA,0.934152329147895
"N5.HOG0000526",NA,NA,-3.21229845221133,2.62792174021362,-1.22237218980129,0.221566911057958,1.28344464955876,1.73699711971516,0.738887033830671,0.459975596381083,NA,0.918215380064427
"N5.HOG0000608",NA,NA,-1.17577635166807,0.482235308273675,-2.43817972573837,0.0147614328272375,0.257402988470954,0.311958278598419,0.825119915481733,0.409303514073116,NA,0.908699916872367
"N5.HOG0000716",NA,NA,-0.966140625743098,0.728622961384343,-1.32598158025035,0.184845798708247,-2.27343236927631,3.19465587592045,-0.711636075238082,0.476690161760968,NA,0.918819175414744
"N5.HOG0001006","system is computationally singular: reciprocal condition number = 3.76458e-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001041",NA,NA,-3.1974848850849,1.51346238797639,-2.11269530745338,0.0346268551986947,0.316942966158878,0.969164462072603,0.327027020244924,0.743647448639785,NA,0.933192738420773
"N5.HOG0001043",NA,NA,-1.94006586729317,0.821676415824578,-2.36110691499677,0.0182204767916706,0.127622770932005,0.547200602698226,0.233228491165218,0.815583983060494,NA,0.933192738420773
"N5.HOG0001044",NA,NA,-2029.98603212476,NA,NA,NA,-50943.0655601673,NA,NA,NA,NA,NA
"N5.HOG0001051",NA,NA,-1.67051400602957,0.87602628080627,-1.90692224951525,0.0565306565092445,-1.93639819277455,1.87962245608968,-1.03020592592992,0.3029133485282,NA,0.893381141700011
"N5.HOG0001052","system is computationally singular: reciprocal condition number = 2.68508e-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001055",NA,NA,-2.58194893590887,1.26056065569095,-2.04825442096131,0.040535076514956,0.246122265964315,0.81720930175237,0.301174087760071,0.763281747998212,NA,0.933192738420773
"N5.HOG0001166","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001168",NA,NA,-1.15643172708308,1.58537621602115,-0.729436783141229,0.465734524385764,-1.76031989688883,0.992078785386006,-1.77437510288451,0.076001125264637,NA,0.707711767710904
"N5.HOG0001310","system is computationally singular: reciprocal condition number = 1.20815e-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001531","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001595",NA,NA,-2.72015117125391,2.1982932182441,-1.23739233177759,0.215941464252863,0.955456175504014,1.39703739175329,0.683915964700783,0.494028232321136,NA,0.919502378496485
"N5.HOG0001603",NA,NA,-1.58107811524084,0.872039853927506,-1.81308011109809,0.069819466257487,-0.00943203552973284,0.605050900221749,-0.0155888298427058,0.987562417095749,NA,0.939172997483799
"N5.HOG0001608",NA,NA,-1.08729512199514,0.634873091189343,-1.7126180603406,0.0867828284937587,-0.00152653335319438,0.439330645969795,-0.00347467987311619,0.997227612154201,NA,0.940865620625376
"N5.HOG0001609",NA,NA,-1.97615572605572,0.715598428352785,-2.76154285386648,0.00575289662840052,1.12208766190391,0.568349445043219,1.97429182290938,0.0483485701614424,NA,0.630029139173396
"N5.HOG0001616",NA,NA,-1.89240181662965,1.15246337734469,-1.64204941678043,0.100579763320212,-0.395457228714388,0.945221190401297,-0.418375331330115,0.675672719841151,NA,0.932050124993085
"N5.HOG0001627","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001633",NA,NA,-0.997520272478526,0.450431771639235,-2.21458683708811,0.0267884363221516,-0.304739515470321,0.353054215056592,-0.863152180243687,0.388053801665418,NA,0.904027135041825
"N5.HOG0001635",NA,NA,-2.57130226897803,1.41619791456571,-1.81563766090317,0.0694259725171176,-0.677588785879623,1.36053652303342,-0.498030574268514,0.618462492573352,NA,0.927175877137195
"N5.HOG0001639",NA,NA,-2.23191448289458,1.34669301175836,-1.65732981712023,0.0974528121512773,-0.014527863204446,0.935996001345837,-0.0155212876802432,0.987616301425054,NA,0.939172997483799
"N5.HOG0001643",NA,NA,-2.42510586100228,1.25442005703066,-1.93324863343045,0.053205576267203,-0.362796388995113,1.0118118267569,-0.358561127080282,0.719923431615648,NA,0.933192738420773
"N5.HOG0001875",NA,NA,-2.9025737310132,1.54407809518702,-1.87981018580645,0.0601339517706096,-0.266346316969332,1.18845586580212,-0.224111239326138,0.822670747185903,NA,0.933192738420773
"N5.HOG0002031",NA,NA,-367.000752085739,NA,NA,NA,-977339.110642496,NA,NA,NA,NA,NA
"N5.HOG0002033",NA,NA,-3.45015311066948,1.96618577539728,-1.75474421280073,0.0793030697836496,0.218337040687913,1.28180519789482,0.170335586910165,0.864746225874698,NA,0.933454259786195
"N5.HOG0002045",NA,NA,-1.27058700654923,2.16681352782354,-0.586385025861214,0.557616804694141,-2.42722012595213,2.46702787473697,-0.983864086339485,0.325182343922017,NA,0.89666388212204
"N5.HOG0002047",NA,NA,-3.07540107019645,1.03461604097794,-2.97250472483446,0.00295380663825948,0.772604723977785,0.649010468025166,1.19043491906794,0.233875495255161,NA,0.867515830506373
"N5.HOG0002048",NA,NA,-2.80503302898081,0.933285029686481,-3.0055480799077,0.00265102680572196,-0.123300299886548,0.675250073719406,-0.182599461570416,0.855112306844622,NA,0.933192738420773
"N5.HOG0002053",NA,NA,-2.33995924484149,1.55016879859593,-1.50948673909636,0.13117444161735,1.61801101849069,1.07604942928595,1.50365863728433,0.132669284595014,NA,0.810392534289717
"N5.HOG0002054",NA,NA,-2.67993440271473,1.20897081188733,-2.21670728223047,0.0266431008383087,0.450782965480705,0.761955012986524,0.591613622586243,0.554109349597097,NA,0.92158185833144
"N5.HOG0002055",NA,NA,-3.07715403533676,1.60651101491203,-1.91542666484939,0.0554381132783569,0.702707287731821,1.00534055364742,0.698974377570237,0.48456804358675,NA,0.91887609850652
"N5.HOG0002066",NA,NA,-2.8639318385511,1.65247888032449,-1.73311252122552,0.0830756712677991,0.734305531534206,1.03502115911472,0.70945943961404,0.478039413113299,NA,0.918819175414744
"N5.HOG0002072","Insufficient variation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0002076",NA,NA,-1.66329939108543,0.687983736373015,-2.41764347490856,0.0156213742067786,-0.150095941920554,0.503193409494552,-0.298286780169323,0.765484293203322,NA,0.933192738420773
"N5.HOG0002078","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0002083",NA,NA,-2.64427585890145,1.05803234774159,-2.49923914381801,0.0124460290645739,1.24771322606259,0.741152736154132,1.68347651597027,0.0922828818106928,NA,0.743774828088066
"N5.HOG0002108",NA,NA,-0.966869289611192,0.426327951543161,-2.26790030095718,0.0233352840084743,-0.399591579357394,0.350412800999222,-1.14034526768981,0.254142485534712,NA,0.873771779223069
"N5.HOG0002110",NA,NA,-1.53515109167974,0.789172829712751,-1.94526602270191,0.0517429692463663,-1.27391151544003,1.10564373361822,-1.15218987518805,0.249243057305787,NA,0.87174410993376
"N5.HOG0002114","Insufficient variation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0002150",NA,NA,-1.46633702956459,0.523785710904382,-2.79949796078396,0.00511821398345869,0.390454644189729,0.332110610863841,1.17567651082912,0.239724168455279,NA,0.868805463522824
"N5.HOG0002151",NA,NA,-2.76767000988636,1.29867917246106,-2.13114221631929,0.033077427700681,0.143679216017959,0.861316384679894,0.166813517742795,0.867516782101298,NA,0.933454259786195
"N5.HOG0002159","Insufficient variation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0002161",NA,NA,-2.09455573892033,1.9817157494857,-1.05694055237938,0.290538719360153,-2.21890718315937,6.69606414198583,-0.331374839922205,0.740361367162072,NA,0.933192738420773
"N5.HOG0002163",NA,NA,-1.71649808002469,0.925179634577708,-1.85531329903103,0.0635515001891044,-0.72787452183257,0.916105221679291,-0.794531571928299,0.426886036560597,NA,0.914607118115223
"N5.HOG0002164",NA,NA,-2.77473391762744,1.38056837922325,-2.00984895741896,0.0444471773991871,0.919544134398413,0.874548279802147,1.05145039517595,0.293051780602107,NA,0.891771644174306
"N5.HOG0002165","Insufficient variation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0002192",NA,NA,-3.58371179678695,3.5027498537097,-1.02311382384086,0.306254031585675,0.0761809298363146,2.36592889694853,0.0321991628465967,0.974313223785972,NA,0.93838921178373
"N5.HOG0002195",NA,NA,-1.88605247220842,0.975749811536905,-1.93292629925051,0.0532452775665468,-0.418860782402828,0.81010881157573,-0.517042619976085,0.6051264074236,NA,0.927052406353825
"N5.HOG0002208","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
