HOG,error,coef_(Intercept)_Estimate,coef_(Intercept)_StdErr,coef_(Intercept)_z.value,coef_(Intercept)_p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,p_adj_bonferroni
N5.HOG0067161,,-0.131216626779275,0.111453883811087,-1.17731766980579,0.239068736853256,0.462570047274562,0.0500096142016384,9.24962239079636,2.25287147327277e-20,2.695110143476215e-16
N5.HOG0062479,,-0.102667206082786,0.0728425255845773,-1.40944050551322,0.158704953937815,0.283759486506481,0.0322464037724067,8.79972503319251,1.3715178584700698e-18,1.6407468140877445e-14
N5.HOG0068083,,-0.116299676540239,0.102022629398412,-1.13994000376204,0.254311297347869,0.391135269647943,0.0453788246588326,8.61933451535114,6.7344350042966696e-18,8.056404595640106e-14
N5.HOG0068230,,0.118417586446776,0.0620176442706744,1.90941768007095,0.0562082318203767,-0.274227878743138,0.0329367523930254,-8.32589307746102,8.3695324032986e-17,1.0012471614066116e-12
N5.HOG0030400,,1.1466277358135,0.302900671311682,3.78549090316683,0.0001534054461762,-1.14460544061033,0.137932302610196,-8.29831315036509,1.0560002429347e-16,1.2632930906227816e-12
N5.HOG0066573,,-0.115956381943508,0.129817329668969,-0.893227292836737,0.37173546501482,0.481546541014106,0.0584227601469878,8.2424476317546,1.68722972407064e-16,2.0184329189057064e-12
N5.HOG0058652,,-2.08367164340846,0.532023765613835,-3.91650106270041,8.98434199622185e-05,2.17446000681438,0.264916092052237,8.20810842395189,2.24700264704938e-16,2.688089266665173e-12
N5.HOG0012041,,-0.833900037304249,0.292098612619263,-2.85485791879196,0.0043056086089495,1.44620429265573,0.178372368175567,8.1077820934253,5.15520811037211e-16,6.167175462438155e-12
N5.HOG0067198,,0.252124053550423,0.106170126800659,2.37471745723543,0.017562387856552,-0.505628005930304,0.0662205273643975,-7.63551765675227,2.24914879214552e-14,2.690656700043686e-10
N5.HOG0029535,,-0.354901601248279,0.232373537181932,-1.52728923246719,0.126689105777589,0.836912048026305,0.114241101143941,7.32584017175935,2.37406602116245e-13,2.840095181116639e-09
N5.HOG0009906,,0.0080745183746158,0.166183508787783,0.0485879641940102,0.96124766181878,0.548364536165135,0.0757182356653896,7.2421726595485,4.41553208013925e-13,5.282301027470584e-09
N5.HOG0066647,,0.25694066321963,0.128940032264559,1.99271443249245,0.0462927260897092,-0.650025391978578,0.0899758093874646,-7.22444617507536,5.03148094344951e-13,6.019160652648649e-09
N5.HOG0054990,,0.233858828396783,0.187589613240774,1.24665126366363,0.212525396165978,0.621256531405144,0.0868780446210554,7.15090370777727,8.62084502082099e-13,1.031311689840815e-08
N5.HOG0067827,,-0.0740141107427088,0.150915679641577,-0.490433538241296,0.623827149041838,0.48418879970956,0.0679472950390662,7.12594665366997,1.03367749780739e-12,1.2365883906269806e-08
N5.HOG0067255,,-0.117893819763823,0.123666487507806,-0.953320678380079,0.340427617492821,0.387890677698839,0.0549893885209722,7.05391873108214,1.73947997618516e-12,2.0809398955103068e-08
N5.HOG0013421,,-0.804581657152539,0.582870804904929,-1.3803773501467,0.167470490261574,1.9213966035568,0.272638331132688,7.04741917827281,1.8226662640455197e-12,2.180455651677655e-08
N5.HOG0040581,,-0.240341983130915,0.172786277233031,-1.39097842131742,0.164231970362514,0.551721709880222,0.0787810994728013,7.00322429583127,2.50137889036602e-12,2.9923995665448696e-08
N5.HOG0063598,,-0.0339396066970161,0.171865246085908,-0.19747800948687,0.843453488483039,0.532410818982064,0.0780570359930286,6.82079215805241,9.05398540523453e-12,1.0831282740282069e-07
N5.HOG0063878,,0.38456274575333,0.118460828875981,3.24632833825547,0.0011690392617796,-0.491653911518646,0.0731143383917815,-6.72445271793517,1.7625363964080002e-11,2.1085222910228907e-07
N5.HOG0068853,,0.129263983639843,0.0990568634686191,1.30494727082484,0.191910803341644,-0.378946010053477,0.0563569668822635,-6.72403131355776,1.7676441886505597e-11,2.1146327428826647e-07
N5.HOG0062008,,0.0262873723357458,0.153079681745131,0.171723458241263,0.863654942755492,0.459396471643903,0.0686547823941697,6.6913979714677,2.2104859727845197e-11,2.644404369242121e-07
N5.HOG0035035,,-0.0447926273066229,0.204651559140875,-0.218872641355198,0.826749258793964,0.63200979184075,0.0950285787785855,6.65073391567098,2.91635102022371e-11,3.4888307254936245e-07
N5.HOG0068321,,0.131955468515897,0.0938630769621173,1.4058293504394,0.159774804333523,-0.346863819077653,0.0522456919807157,-6.6390893856987,3.1562695939310196e-11,3.7758453152196785e-07
N5.HOG0067769,,-0.0282862906594374,0.12104548543678,-0.233683152720395,0.815230967853184,0.355976614130058,0.0536923357520861,6.62993347455977,3.3583819293697795e-11,4.0176323021050673e-07
N5.HOG0067173,,0.204080428660934,0.135903972283199,1.50165168267244,0.1331870883542,-0.606754850124629,0.0916444898972135,-6.62074556588347,3.57391664947374e-11,4.275476487765435e-07
N5.HOG0067189,,0.241295684673064,0.138357159168741,1.74400577550728,0.0811580827510751,-0.6240464896849,0.0945789246534774,-6.59815589965006,4.1630338329501895e-11,4.980237374358311e-07
N5.HOG0068537,,-0.164177937582127,0.108390818934093,-1.51468490778684,0.129852218214618,0.31609413160212,0.0479956563289208,6.58589038632754,4.5216733489650896e-11,5.409277827366936e-07
N5.HOG0067767,,0.125427253578929,0.132226432300408,0.948579277205092,0.342834634744685,-0.56182738332569,0.086093365905492,-6.52579182398827,6.764321690148249e-11,8.092158037924351e-07
N5.HOG0067887,,-0.0623348457249594,0.0953283361595531,-0.653896293968965,0.513178621765192,0.27489961598916,0.0422054594396729,6.51336627153869,7.34850289257432e-11,8.791014010386659e-07
N5.HOG0068054,,0.22958317803681,0.133739617545134,1.71664299817017,0.0860444210422453,-0.571043921651182,0.0877029989772632,-6.51111054707745,7.459721765715159e-11,8.924065148325045e-07
N5.HOG0067655,,0.290839152706808,0.157397448945932,1.84780093104759,0.064631146188448,-0.820630809294841,0.126041790993759,-6.51078346971024,7.475984412058909e-11,8.943520152146073e-07
