"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0000042",NA,"-1.82487196752658","1.88635221365718","-0.967407864933449","0.333340179878258","-0.501943383202968","1.17329389748244","-0.427807034776195","0.668791614829503"
"N5.HOG0000052",NA,"-0.856692710147743","0.819676692422691","-1.04515929032415","0.295949355068879","0.307563935831851","0.362892233030354","0.84753518493223","0.396696884049065"
"N5.HOG0000147",NA,"-1.23937524722432","0.740909817141943","-1.67277476765689","0.0943716439250587","0.0300856780228405","0.340893647614488","0.088255320195535","0.929673749646822"
"N5.HOG0000196",NA,"-0.863214237660112","0.494447150498041","-1.74581699336445","0.0808427571357593","0.171415904680492","0.220603736968087","0.777030829288668","0.437140581688448"
"N5.HOG0000276",NA,"-2.18027329698621","1.27266722177601","-1.71315270769969","0.086684449442403","0.537627471955322","0.812604415441527","0.661610325687442","0.508220988295088"
"N5.HOG0000428",NA,"-1.0523187103715","1.0730724475337","-0.980659519112713","0.326760672710387","0.889028826361187","0.888239087471057","1.00088910621168","0.316880423794701"
"N5.HOG0000526",NA,"-0.839902199768126","0.84401350992732","-0.995128857404725","0.319673597134871","0.546149180771535","0.38438404220672","1.42084249293008","0.15536255423798"
"N5.HOG0000608",NA,"0.0925851002087123","0.160799685904931","0.575779111057784","0.564764494523429","0.27373539209788","0.0711936211597903","3.84494267377544","0.000120580624363523"
"N5.HOG0000716",NA,"-0.875172871256135","0.658720092243225","-1.32859598722091","0.183981296657369","-0.362282674657441","0.370502046697582","-0.977815582630642","0.328165542638533"
"N5.HOG0001006",NA,"-1.67845030862756","0.940900694419208","-1.78387615035572","0.0744437921031906","1.08238910668003","0.499344709996767","2.16761905155065","0.0301876829953902"
"N5.HOG0001041",NA,"-0.888936280283784","0.547876775989042","-1.62251133693165","0.10469390767282","-0.681543072266007","0.392055665453345","-1.73838342950081","0.0821432745049141"
"N5.HOG0001043",NA,"-0.286359558918953","0.412980914232642","-0.693396593038776","0.488060699748246","-0.0145245732907536","0.192826654548395","-0.0753245101138664","0.939956520624971"
"N5.HOG0001044","system is computationally singular: reciprocal condition number = 9.83852e-17",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0001051",NA,"-0.0311135767484291","0.253304469427118","-0.122830745224499","0.902241127434135","-0.355112039927395","0.141780230776398","-2.50466541056378","0.0122567279105858"
"N5.HOG0001052",NA,"-1.12493922330896","0.628991727855872","-1.78848015560346","0.0736985744746855","0.181525565607932","0.280271376958226","0.647677859858618","0.517193327017616"
"N5.HOG0001055",NA,"-0.0487326083833121","0.386738141919166","-0.126009315092324","0.899724550976042","-0.856296488014722","0.318820572953728","-2.68582569839055","0.00723508211342731"
"N5.HOG0001166",NA,"-0.421301903477275","0.387224565016161","-1.08800407189996","0.27659330994896","-0.318167721735208","0.211477674251565","-1.50449792329724","0.132453207666774"
"N5.HOG0001168",NA,"-0.614077074998372","1.05906980360364","-0.579826818693996","0.562031410188121","0.0139460940948326","0.489743497606125","0.0284763231426274","0.977282251764934"
"N5.HOG0001310",NA,"0.681850587414618","0.21737750440322","3.13671181977429","0.0017085397077556","1.1362761602923","2.30591882262312","0.492765031077596","0.622178621794513"
