Description	Count	p	Ontology
activation of GTPase activity	3	0.0057	bp
mRNA cleavage and polyadenylation specificity factor complex	2	0.030	cc
extracellular space	7	0.038	cc
GTPase activator activity	4	0.032	mf
misfolded protein binding	2	0.040	mf
ubiquitin protein ligase binding	3	0.048	mf
